id,first_name,last_name,email,mbti,self identified gender,matching gender preferences
100362,Kaysen,Waller,example100362@hmc.edu,ISTP,non-binary,"men, women"
100363,Nelson,Galvan,example100363@mymail.pomona.edu,ISFJ,women,non-binary
100364,Rosalia,Schmidt,example100364@students.pitzer.edu,INTP,non-binary,"men, women"
100365,Warren,Baxter,example100365@scrippscollege.edu,ISFP,non-binary,men
100366,Kairi,Cherry,example100366@hmc.edu,ESFJ,women,men
100367,Paisleigh,Yates,example100367@students.claremontmckenna.edu,ISFP,women,men
100368,Kinslee,Travis,example100368@mymail.pomona.edu,ENFJ,men,"men, women, non-binary"
100369,Ledger,Cano,example100369@students.claremontmckenna.edu,INTJ,"men, women, non-binary",non-binary
100370,Karen,Stephenson,example100370@students.claremontmckenna.edu,ENTJ,men,"men, women, non-binary"
100371,Scott,Pearson,example100371@scrippscollege.edu,ISFJ,men,women
100372,Julissa,Rosas,example100372@scrippscollege.edu,ESTP,men,women
100373,Margo,Doyle,example100373@hmc.edu,ISTJ,men,women
100374,Iyla,Barnett,example100374@students.pitzer.edu,,"women, non-binary",non-binary
100375,Willa,Benton,example100375@mymail.pomona.edu,INFJ,women,men
100376,Sylas,Walker,example100376@scrippscollege.edu,ISTP,non-binary,women
100377,Poppy,Andersen,example100377@students.claremontmckenna.edu,INTJ,"men, women","men, women"
100378,Mara,Baker,example100378@scrippscollege.edu,ISTP,non-binary,non-binary
100379,Kallie,Peterson,example100379@students.pitzer.edu,ISFJ,women,women
100380,Darian,Baker,example100380@students.pitzer.edu,ENFJ,women,men
100381,Melina,Frank,example100381@scrippscollege.edu,ENFJ,men,women
100382,Brynlee,Howell,example100382@mymail.pomona.edu,ESFJ,men,women
100383,Jose,Frost,example100383@students.claremontmckenna.edu,ESTJ,men,women
100384,Mae,Cummings,example100384@scrippscollege.edu,ISFP,women,men
100385,Cassidy,Barrera,example100385@scrippscollege.edu,ISFJ,women,men
100386,Brinley,Parrish,example100386@students.pitzer.edu,ESFP,non-binary,"women, non-binary"
100387,Esperanza,Benjamin,example100387@hmc.edu,ENFP,non-binary,men
100388,Layton,Arnold,example100388@mymail.pomona.edu,INTJ,men,women
100389,Walter,Wyatt,example100389@students.pitzer.edu,INFJ,"men, non-binary","women, non-binary"
100390,Shay,Dunlap,example100390@hmc.edu,ENTP,"men, non-binary","men, women, non-binary"
100391,Canaan,Whitaker,example100391@scrippscollege.edu,ESFP,non-binary,"men, women"
100392,Aydin,Robinson,example100392@students.claremontmckenna.edu,ISTP,men,women
100393,Kamari,Olsen,example100393@scrippscollege.edu,ENTJ,women,men
100394,Joaquin,Lewis,example100394@scrippscollege.edu,ESTP,non-binary,"men, women, non-binary"
100395,Hayley,Reyna,example100395@students.claremontmckenna.edu,,men,men
100396,Lucille,Jensen,example100396@hmc.edu,ISFJ,"men, non-binary","men, women"
100397,Noah,Farley,example100397@students.claremontmckenna.edu,ISTP,non-binary,"men, women, non-binary"
100398,Julian,Alvarado,example100398@scrippscollege.edu,ENTP,women,men
100399,Gracelyn,Yates,example100399@students.claremontmckenna.edu,ISTJ,women,"men, women, non-binary"
100400,Briar,Ortiz,example100400@hmc.edu,ISTP,women,men
100401,Marianna,Yates,example100401@scrippscollege.edu,ESFP,women,men
100402,Briggs,Herrera,example100402@students.pitzer.edu,ESFJ,men,non-binary
100403,Peyton,Peralta,example100403@hmc.edu,ESFP,women,"men, non-binary"
100404,Briana,Dyer,example100404@mymail.pomona.edu,ESFP,women,men
100405,Charley,Medrano,example100405@students.claremontmckenna.edu,ISFP,women,men
100406,Karsyn,Tanner,example100406@students.claremontmckenna.edu,ISTP,women,men
100407,Theo,Hensley,example100407@mymail.pomona.edu,INFP,men,women
100408,Finley,Watkins,example100408@mymail.pomona.edu,ENFJ,women,men
100409,Aliza,Galindo,example100409@hmc.edu,ENFJ,"men, women",men
100410,Eliseo,Benjamin,example100410@hmc.edu,INFJ,men,non-binary
100411,Frida,Cantrell,example100411@students.claremontmckenna.edu,ISTP,women,"men, women"
100412,Walter,Quintero,example100412@students.claremontmckenna.edu,INTP,men,women
100413,Emmalyn,Cano,example100413@hmc.edu,INTP,non-binary,"men, non-binary"
100414,Wrenley,Harding,example100414@mymail.pomona.edu,ISFP,women,men
100415,Taylor,Parker,example100415@students.claremontmckenna.edu,ISTJ,men,women
100416,Monica,Chan,example100416@students.pitzer.edu,ENTP,men,women
100417,Alonzo,Floyd,example100417@hmc.edu,INTP,women,men
100418,Aryan,Salas,example100418@students.claremontmckenna.edu,,women,men
100419,Rylan,Kane,example100419@hmc.edu,INTP,men,women
100420,Isabel,Navarro,example100420@hmc.edu,,men,women
100421,Russell,Santiago,example100421@students.claremontmckenna.edu,ESTJ,"men, women, non-binary",men
100422,Lyla,Gordon,example100422@mymail.pomona.edu,INFP,non-binary,men
100423,Karen,Valentine,example100423@students.claremontmckenna.edu,ESTJ,men,women
100424,Raylan,Price,example100424@scrippscollege.edu,ESFJ,non-binary,"men, non-binary"
100425,Zaid,Webb,example100425@hmc.edu,ENFP,women,men
100426,Stetson,Wyatt,example100426@scrippscollege.edu,ESTJ,women,men
100427,Tate,Velasquez,example100427@scrippscollege.edu,ENTP,men,women
100428,Jeremiah,Carter,example100428@hmc.edu,INTP,women,men
100429,Miracle,Shannon,example100429@mymail.pomona.edu,ENFJ,women,women
100430,Davina,Kramer,example100430@students.claremontmckenna.edu,ENFJ,men,"women, non-binary"
100431,Kallie,Cardenas,example100431@hmc.edu,ESFJ,men,women
100432,Luna,McKee,example100432@students.pitzer.edu,INFJ,men,"men, non-binary"
100433,Makayla,Martin,example100433@students.pitzer.edu,ISFP,men,women
100434,Palmer,Cano,example100434@students.pitzer.edu,ISFJ,men,women
100435,Devin,Pratt,example100435@scrippscollege.edu,INTJ,men,women
100436,Erick,Ross,example100436@students.claremontmckenna.edu,ISTP,women,men
100437,Soren,Griffith,example100437@mymail.pomona.edu,ISTP,women,men
100438,Madalynn,Price,example100438@scrippscollege.edu,INFJ,men,women
100439,Rosalia,Sherman,example100439@mymail.pomona.edu,INTP,men,women
100440,Jada,Hutchinson,example100440@students.pitzer.edu,INTJ,women,men
100441,Lucy,Salazar,example100441@scrippscollege.edu,ESTJ,women,men
100442,Elle,Harrison,example100442@hmc.edu,INTJ,men,women
100443,Kailey,Dalton,example100443@students.claremontmckenna.edu,INFP,women,men
100444,Rohan,Dickson,example100444@students.pitzer.edu,ESFP,women,men
100445,Marianna,Gallegos,example100445@students.pitzer.edu,ISTJ,men,"men, women, non-binary"
100446,Madden,Cline,example100446@students.pitzer.edu,ENTP,men,women
100447,Aydin,Tang,example100447@mymail.pomona.edu,ESFJ,"women, non-binary","men, non-binary"
100448,Damien,Kelley,example100448@students.claremontmckenna.edu,ENFP,women,men
100449,Darius,Delarosa,example100449@scrippscollege.edu,ISFP,women,men
100450,Amora,Duncan,example100450@students.claremontmckenna.edu,INFP,men,men
100451,Nyomi,Miranda,example100451@scrippscollege.edu,INFJ,women,men
100452,Raven,Page,example100452@hmc.edu,ISTJ,"men, non-binary","men, women"
100453,Wes,Ross,example100453@hmc.edu,ISFP,women,men
100454,Ryan,Watkins,example100454@students.claremontmckenna.edu,ESTP,non-binary,men
100455,Kamryn,Jordan,example100455@students.claremontmckenna.edu,ISFJ,men,women
100456,Hayley,Sweeney,example100456@mymail.pomona.edu,INTJ,"men, women",women
100457,Cairo,Golden,example100457@hmc.edu,,men,women
100458,Cedric,Suarez,example100458@hmc.edu,INTJ,men,women
100459,Silas,Acevedo,example100459@hmc.edu,ENFJ,women,non-binary
100460,Fallon,Fleming,example100460@scrippscollege.edu,ISFP,women,men
100461,Piper,Villegas,example100461@scrippscollege.edu,ESFJ,men,"men, non-binary"
100462,Gustavo,Rose,example100462@students.claremontmckenna.edu,,men,women
100463,Kynlee,Best,example100463@mymail.pomona.edu,ENTP,men,"men, women, non-binary"
100464,Issac,Lin,example100464@hmc.edu,ESFJ,men,"men, non-binary"
100465,Danny,Oliver,example100465@students.pitzer.edu,INFJ,men,women
100466,Malik,Harrell,example100466@hmc.edu,ENTJ,men,non-binary
100467,Palmer,Hendrix,example100467@mymail.pomona.edu,ISFP,women,men
100468,Tripp,Zhang,example100468@hmc.edu,ENFJ,women,men
100469,Rowen,Archer,example100469@students.claremontmckenna.edu,ENFP,women,men
100470,Emerson,Cain,example100470@scrippscollege.edu,ENTP,women,men
100471,Whitley,Parks,example100471@mymail.pomona.edu,ISTJ,men,"men, women, non-binary"
100472,Harvey,Hunter,example100472@scrippscollege.edu,INTP,non-binary,men
100473,Murphy,Howard,example100473@students.claremontmckenna.edu,INTJ,women,men
100474,Nixon,Wiggins,example100474@hmc.edu,ESFJ,men,women
100475,Jayson,Harrison,example100475@students.pitzer.edu,ENFP,women,"women, non-binary"
100476,Ismael,Kline,example100476@hmc.edu,ISFJ,women,non-binary
100477,Killian,Keith,example100477@scrippscollege.edu,ISTJ,men,women
100478,Mila,Delacruz,example100478@scrippscollege.edu,INFJ,men,women
100479,Briggs,Lu,example100479@mymail.pomona.edu,INFP,non-binary,men
100480,Rosalyn,Yoder,example100480@mymail.pomona.edu,ISFJ,men,women
100481,Bonnie,Ward,example100481@scrippscollege.edu,INTP,men,women
100482,Macy,Clayton,example100482@hmc.edu,INFJ,men,women
100483,Bruno,Stanley,example100483@scrippscollege.edu,ESTP,men,women
100484,Emery,Stuart,example100484@students.pitzer.edu,ESTJ,men,"women, non-binary"
100485,Grey,Santana,example100485@scrippscollege.edu,ISFP,men,women
100486,Arian,Mullins,example100486@students.pitzer.edu,INFP,women,men
100487,Loretta,Sharp,example100487@students.pitzer.edu,ISFP,men,women
100488,Nathan,Chandler,example100488@students.pitzer.edu,INFP,women,men
100489,Caleb,Waller,example100489@scrippscollege.edu,ENTP,women,men
100490,Royal,Kirk,example100490@students.claremontmckenna.edu,ENFP,women,"men, women, non-binary"
100491,Alaina,Dennis,example100491@mymail.pomona.edu,ENFP,men,women
100492,Wesson,Moss,example100492@hmc.edu,INTJ,non-binary,men
100493,August,Cantrell,example100493@mymail.pomona.edu,ISFP,women,men
100494,Cesar,Harrell,example100494@students.claremontmckenna.edu,ENFP,women,non-binary
100495,Rohan,Andersen,example100495@mymail.pomona.edu,ENTJ,non-binary,men
100496,Tyler,Cooper,example100496@students.pitzer.edu,INTJ,"women, non-binary",non-binary
100497,Teagan,Farrell,example100497@mymail.pomona.edu,ISFP,women,"men, women, non-binary"
100498,Scott,Ortiz,example100498@hmc.edu,ESFJ,men,women
100499,Makayla,Le,example100499@mymail.pomona.edu,ISTP,non-binary,men
100500,Oaklyn,Huynh,example100500@students.pitzer.edu,ESTJ,men,women
100501,Raphael,Christian,example100501@students.pitzer.edu,INFP,women,men
100502,Alma,Lu,example100502@students.claremontmckenna.edu,INFJ,women,men
100503,Amina,Ho,example100503@hmc.edu,ISTP,men,women
100504,Jada,Ho,example100504@students.claremontmckenna.edu,INTP,women,men
100505,Peter,Huynh,example100505@scrippscollege.edu,ESTJ,"men, women, non-binary","men, women"
100506,Paisleigh,Strickland,example100506@scrippscollege.edu,ENTP,men,women
100507,Winter,King,example100507@scrippscollege.edu,ESFJ,men,women
100508,Manuel,Kelley,example100508@scrippscollege.edu,ESTJ,women,non-binary
100509,Mauricio,Johnson,example100509@students.claremontmckenna.edu,INTJ,women,"men, women"
100510,Andy,Sharp,example100510@mymail.pomona.edu,INTJ,men,women
100511,Briana,Orr,example100511@students.claremontmckenna.edu,ENTJ,men,"men, women, non-binary"
100512,Amora,Xiong,example100512@hmc.edu,ESTP,men,women
100513,Madelyn,Duke,example100513@scrippscollege.edu,ENFJ,men,"women, non-binary"
100514,Grey,Bradford,example100514@hmc.edu,INTJ,women,"men, women, non-binary"
100515,Barbara,Walsh,example100515@hmc.edu,INTJ,"men, non-binary",non-binary
100516,Manuel,Galvan,example100516@students.claremontmckenna.edu,INTJ,women,men
100517,Anders,Jensen,example100517@students.claremontmckenna.edu,ISTP,men,women
100518,Selah,Cole,example100518@students.claremontmckenna.edu,ESTP,men,women
100519,Alijah,Grimes,example100519@mymail.pomona.edu,ISFJ,women,men
100520,Royal,Humphrey,example100520@students.pitzer.edu,ESTJ,men,women
100521,Emma,Tyler,example100521@students.pitzer.edu,ENFJ,non-binary,non-binary
100522,Johnny,Salazar,example100522@students.pitzer.edu,INFP,women,men
100523,Jemma,French,example100523@hmc.edu,ESFJ,women,non-binary
100524,Barbara,Duffy,example100524@hmc.edu,ISFP,"men, women","men, women"
100525,Sebastian,Smith,example100525@scrippscollege.edu,ISFP,non-binary,"women, non-binary"
100526,Nora,McIntosh,example100526@students.claremontmckenna.edu,ISFP,men,men
100527,Ermias,Singleton,example100527@scrippscollege.edu,INFP,men,"men, women"
100528,Devin,Wilkins,example100528@hmc.edu,INFJ,"men, women, non-binary",men
100529,Darius,Phan,example100529@students.claremontmckenna.edu,ENFP,women,men
100530,Leilani,Pugh,example100530@students.pitzer.edu,ENFP,men,women
100531,Hayden,Hodges,example100531@students.claremontmckenna.edu,ENFJ,women,men
100532,Nikolas,Walsh,example100532@students.pitzer.edu,ENFP,women,"women, non-binary"
100533,Khari,Stuart,example100533@hmc.edu,ENTJ,men,women
100534,Adeline,Navarro,example100534@students.pitzer.edu,ENFJ,"women, non-binary",non-binary
100535,Oaklee,Byrd,example100535@mymail.pomona.edu,ESFP,"men, women","men, non-binary"
100536,Dior,Hodges,example100536@students.claremontmckenna.edu,INFJ,men,women
100537,Aviana,Moss,example100537@scrippscollege.edu,INTJ,men,women
100538,Adriel,Barnes,example100538@mymail.pomona.edu,INFJ,men,women
100539,Danna,Cobb,example100539@scrippscollege.edu,INTP,women,men
100540,Harlem,Nunez,example100540@mymail.pomona.edu,ESFJ,women,women
100541,Elisabeth,Gomez,example100541@scrippscollege.edu,ESTJ,women,men
100542,Derrick,Brandt,example100542@scrippscollege.edu,ENTJ,men,women
100543,Scott,Haynes,example100543@students.pitzer.edu,ISTJ,men,women
100544,Eliseo,Villegas,example100544@students.pitzer.edu,ENFP,women,men
100545,Mae,Hawkins,example100545@students.claremontmckenna.edu,INFJ,women,men
100546,Danna,Gibson,example100546@hmc.edu,ENTP,non-binary,"women, non-binary"
100547,Adam,Huang,example100547@hmc.edu,ESTP,women,men
100548,Mara,Bridges,example100548@scrippscollege.edu,ISFP,men,women
100549,Jones,Martin,example100549@students.claremontmckenna.edu,ISFJ,non-binary,"women, non-binary"
100550,Aliyah,Sellers,example100550@hmc.edu,INTJ,women,men
100551,Armani,Poole,example100551@students.claremontmckenna.edu,ENTP,women,women
100552,Jordan,Yates,example100552@mymail.pomona.edu,,men,women
100553,Mercy,Dennis,example100553@students.claremontmckenna.edu,INTP,women,"women, non-binary"
100554,Thatcher,Ross,example100554@students.pitzer.edu,INFJ,"men, women, non-binary","men, non-binary"
100555,Saige,Sherman,example100555@students.pitzer.edu,ESTP,"men, non-binary","men, women"
100556,Nora,Greer,example100556@scrippscollege.edu,,women,"women, non-binary"
100557,Charlie,Duke,example100557@mymail.pomona.edu,INTJ,women,men
100558,Rowen,Chandler,example100558@students.pitzer.edu,ISTP,women,men
100559,Jerry,Villa,example100559@students.claremontmckenna.edu,INTP,"women, non-binary","men, women"
100560,Mercy,Santos,example100560@mymail.pomona.edu,INTJ,non-binary,men
100561,Santino,Brock,example100561@students.pitzer.edu,ESFJ,women,men
100562,Jemma,Flynn,example100562@scrippscollege.edu,INTP,women,"men, women"
100563,Drew,Norris,example100563@scrippscollege.edu,ENFJ,men,"women, non-binary"
100564,Zaid,Ward,example100564@scrippscollege.edu,ISTJ,men,women
100565,Amayah,Patrick,example100565@students.pitzer.edu,ISTP,women,men
100566,Walter,Brooks,example100566@mymail.pomona.edu,ISTP,men,women
100567,Austin,Wiggins,example100567@scrippscollege.edu,ISTJ,men,women
100568,Ryan,Pierce,example100568@mymail.pomona.edu,ISTJ,women,men
100569,Baylor,Olson,example100569@students.pitzer.edu,INTJ,men,"men, women"
100570,Kiaan,Vang,example100570@students.claremontmckenna.edu,ESFP,"men, women, non-binary","men, non-binary"
100571,Harley,Gibson,example100571@students.claremontmckenna.edu,ISTJ,women,men
100572,Celine,Waters,example100572@scrippscollege.edu,ENTJ,men,women
100573,Palmer,Vasquez,example100573@students.claremontmckenna.edu,ENTJ,men,women
100574,Amira,Acevedo,example100574@hmc.edu,,women,non-binary
100575,Mae,Hudson,example100575@mymail.pomona.edu,ESTP,men,"men, women, non-binary"
100576,Yamileth,Pratt,example100576@students.claremontmckenna.edu,INFJ,women,"men, women, non-binary"
100577,Lillian,Case,example100577@students.pitzer.edu,,women,men
100578,Elizabeth,Olson,example100578@scrippscollege.edu,,men,women
100579,Marley,Ortiz,example100579@hmc.edu,ESTP,men,"men, non-binary"
100580,Marianna,Velez,example100580@students.claremontmckenna.edu,INTJ,women,men
100581,Lian,Gibbs,example100581@mymail.pomona.edu,ISFJ,women,men
100582,Gia,Washington,example100582@mymail.pomona.edu,ENFJ,men,women
100583,Cyrus,Schneider,example100583@students.claremontmckenna.edu,ISTP,"men, women, non-binary","men, women, non-binary"
100584,Avalynn,Morse,example100584@mymail.pomona.edu,ISTP,women,"men, women, non-binary"
100585,Alijah,Mueller,example100585@students.pitzer.edu,,non-binary,men
100586,Malik,Barton,example100586@students.pitzer.edu,ENTP,men,women
100587,Paislee,Cantu,example100587@mymail.pomona.edu,ISTP,women,non-binary
100588,Braelyn,Ford,example100588@mymail.pomona.edu,ENFJ,men,women
100589,Theo,Sutton,example100589@scrippscollege.edu,ISFP,men,women
100590,Raegan,Vu,example100590@mymail.pomona.edu,INTJ,men,women
100591,Paisleigh,Ford,example100591@scrippscollege.edu,ESTP,women,women
100592,Willie,Levy,example100592@scrippscollege.edu,,men,women
100593,Porter,Mayo,example100593@students.claremontmckenna.edu,ESTP,women,men
100594,Madalynn,Martin,example100594@students.pitzer.edu,ISTJ,men,women
100595,Zelda,Cisneros,example100595@scrippscollege.edu,ENFP,men,women
100596,Kennedy,Dejesus,example100596@students.claremontmckenna.edu,ENTP,men,women
100597,Jordan,Huffman,example100597@hmc.edu,ISTJ,men,women
100598,Felix,Thomas,example100598@students.claremontmckenna.edu,ISTJ,women,men
100599,Azariah,Bradshaw,example100599@students.claremontmckenna.edu,ESTP,men,"men, women"
100600,Caiden,Wiggins,example100600@mymail.pomona.edu,ESTJ,women,men
100601,Gustavo,Cohen,example100601@hmc.edu,ESFP,women,men
100602,Nolan,Williamson,example100602@hmc.edu,ISFP,men,"women, non-binary"
100603,Emmalyn,Leach,example100603@students.claremontmckenna.edu,ESTJ,"men, non-binary","men, women, non-binary"
100604,Rosalia,Kemp,example100604@scrippscollege.edu,ENFJ,men,women
100605,Jolene,House,example100605@students.pitzer.edu,INTJ,women,men
100606,Marianna,Welch,example100606@scrippscollege.edu,INTP,women,men
100607,Aliyah,Nolan,example100607@students.pitzer.edu,INTJ,men,women
100608,Maddox,Levy,example100608@hmc.edu,ENTJ,women,non-binary
100609,Peyton,Levy,example100609@scrippscollege.edu,ESTP,women,men
100610,Isabelle,Solomon,example100610@mymail.pomona.edu,ISFJ,men,women
100611,Josie,Nixon,example100611@students.claremontmckenna.edu,INTJ,men,women
100612,Onyx,Mathis,example100612@students.claremontmckenna.edu,,men,women
100613,Lane,Welch,example100613@scrippscollege.edu,ENTP,women,men
100614,Creed,Martinez,example100614@students.claremontmckenna.edu,ESFJ,women,men
100615,Lorelai,Strong,example100615@students.pitzer.edu,INTP,women,"men, non-binary"
100616,Julien,Grimes,example100616@mymail.pomona.edu,ESFP,men,women
100617,Harley,Terrell,example100617@hmc.edu,INTJ,women,men
100618,Cristian,Nolan,example100618@scrippscollege.edu,ENFP,women,men
100619,Aviana,Church,example100619@students.claremontmckenna.edu,INFP,men,women
100620,Frida,Yoder,example100620@mymail.pomona.edu,ISFJ,men,non-binary
100621,Avayah,Davidson,example100621@students.pitzer.edu,ENFP,"men, non-binary",women
100622,Calvin,Brooks,example100622@scrippscollege.edu,ESTP,women,non-binary
100623,Harley,Weaver,example100623@students.pitzer.edu,ENTJ,women,women
100624,Anika,Corona,example100624@scrippscollege.edu,INTJ,men,"men, women, non-binary"
100625,Ramona,Santana,example100625@mymail.pomona.edu,ENTP,women,non-binary
100626,Nia,Marsh,example100626@scrippscollege.edu,ISTJ,men,men
100627,Onyx,Hicks,example100627@students.claremontmckenna.edu,INTP,men,women
100628,Gustavo,Wang,example100628@students.pitzer.edu,ENTP,women,men
100629,Kamila,Cobb,example100629@scrippscollege.edu,ESTP,men,women
100630,Aliza,Rosas,example100630@students.claremontmckenna.edu,ENTJ,women,men
100631,Myles,Mora,example100631@hmc.edu,ENTP,men,women
100632,Giselle,Quintero,example100632@mymail.pomona.edu,ENFJ,"men, women",men
100633,Mohammed,Lam,example100633@students.claremontmckenna.edu,ENTJ,women,"women, non-binary"
100634,Amina,Jimenez,example100634@scrippscollege.edu,INFP,women,women
100635,Alaina,Miranda,example100635@mymail.pomona.edu,ESTP,men,women
100636,Alaric,McDaniel,example100636@hmc.edu,ENFJ,women,men
100637,Fernanda,Wyatt,example100637@scrippscollege.edu,ISTP,men,men
100638,Peter,Salazar,example100638@students.claremontmckenna.edu,,men,men
100639,Esther,Sparks,example100639@mymail.pomona.edu,ENFP,women,"men, women, non-binary"
100640,Avalynn,Cervantes,example100640@scrippscollege.edu,ESTJ,"men, women","men, non-binary"
100641,Frida,Young,example100641@scrippscollege.edu,ESTP,women,men
100642,Mathias,Neal,example100642@mymail.pomona.edu,ISFP,women,"men, women"
100643,Duke,Santiago,example100643@scrippscollege.edu,ESFP,men,women
100644,Franklin,Moss,example100644@scrippscollege.edu,ESFJ,women,men
100645,Kaisley,Alexander,example100645@students.pitzer.edu,ISFP,non-binary,non-binary
100646,Briar,Farrell,example100646@scrippscollege.edu,ISFP,women,men
100647,Alexandra,Chandler,example100647@mymail.pomona.edu,ENFJ,men,women
100648,Alexandra,Kemp,example100648@mymail.pomona.edu,ENTJ,women,men
100649,Erick,Lara,example100649@students.pitzer.edu,ISTJ,"men, women, non-binary","men, non-binary"
100650,Layton,Bond,example100650@students.pitzer.edu,ESTJ,men,women
100651,Alvin,Stanley,example100651@hmc.edu,ESFP,men,women
100652,Corbin,Benitez,example100652@hmc.edu,INFP,men,women
100653,Kabir,Mack,example100653@students.pitzer.edu,ISFP,men,women
100654,Lane,Salazar,example100654@mymail.pomona.edu,ISFJ,men,"women, non-binary"
100655,Jeremiah,Phan,example100655@students.claremontmckenna.edu,INTJ,men,"men, women, non-binary"
100656,Jones,Stewart,example100656@scrippscollege.edu,ESTJ,women,non-binary
100657,Briar,Graves,example100657@students.claremontmckenna.edu,ESFP,women,men
100658,Leonidas,Gilmore,example100658@mymail.pomona.edu,ISTJ,women,"men, women"
100659,Jolene,Navarro,example100659@scrippscollege.edu,INTJ,men,women
100660,Veronica,Gonzalez,example100660@scrippscollege.edu,ESTP,women,"men, women"
100661,Danny,Graves,example100661@students.claremontmckenna.edu,ESTJ,women,men
100662,Clyde,Johnston,example100662@students.claremontmckenna.edu,ISTP,"men, women, non-binary",non-binary
100663,Finn,Cardenas,example100663@scrippscollege.edu,INTP,men,women
100664,Jayla,Doyle,example100664@students.pitzer.edu,ISFP,men,"men, women"
100665,Deborah,Hendrix,example100665@mymail.pomona.edu,INFJ,men,men
100666,Colter,Guevara,example100666@scrippscollege.edu,ISTJ,women,men
100667,Kassidy,Villegas,example100667@scrippscollege.edu,ESFJ,women,men
100668,Clara,Santos,example100668@students.claremontmckenna.edu,ISTP,men,women
100669,Leila,Villa,example100669@students.pitzer.edu,INFP,men,women
100670,David,Delacruz,example100670@mymail.pomona.edu,ISFJ,non-binary,"men, women"
100671,Colter,Todd,example100671@mymail.pomona.edu,ISTJ,women,"men, non-binary"
100672,Autumn,Brooks,example100672@students.claremontmckenna.edu,ESFJ,women,men
100673,Landyn,Durham,example100673@students.pitzer.edu,ISFP,women,men
100674,Anna,Steele,example100674@hmc.edu,INFJ,men,men
100675,Bristol,Gibbs,example100675@students.pitzer.edu,INFJ,men,women
100676,Graysen,McDowell,example100676@mymail.pomona.edu,ENTP,women,men
100677,Ana,Waller,example100677@hmc.edu,INFJ,men,women
100678,Kennedy,West,example100678@mymail.pomona.edu,ISTJ,women,men
100679,Lawson,Dixon,example100679@mymail.pomona.edu,ISTJ,men,"men, women"
100680,Xander,Wang,example100680@hmc.edu,ESFP,women,men
100681,Quentin,Fischer,example100681@hmc.edu,ESTP,women,men
100682,Rayna,Cochran,example100682@scrippscollege.edu,ESTP,men,women
100683,Dior,Lloyd,example100683@mymail.pomona.edu,ENTJ,women,men
100684,Israel,Fox,example100684@hmc.edu,ISFJ,men,non-binary
100685,Aubrie,Benitez,example100685@scrippscollege.edu,ISFJ,"men, women, non-binary",men
100686,Ember,Kemp,example100686@students.claremontmckenna.edu,INFP,men,women
100687,Harper,McGuire,example100687@scrippscollege.edu,ISFJ,women,men
100688,Karen,Colon,example100688@students.pitzer.edu,,non-binary,non-binary
100689,Maisie,Rocha,example100689@scrippscollege.edu,ESFP,non-binary,"men, non-binary"
100690,Addison,Rivera,example100690@students.claremontmckenna.edu,ENTJ,men,women
100691,Ezra,Benitez,example100691@students.pitzer.edu,ISTP,women,men
100692,Iyla,Mendoza,example100692@hmc.edu,ISFP,women,men
100693,Abigail,Grimes,example100693@scrippscollege.edu,ISTP,non-binary,women
100694,Tanner,Dejesus,example100694@scrippscollege.edu,INFP,women,men
100695,Anais,Hunter,example100695@students.claremontmckenna.edu,ESTP,women,men
100696,Jimmy,Gonzalez,example100696@students.pitzer.edu,ISTJ,men,women
100697,Jakari,Osborne,example100697@students.pitzer.edu,ESFP,non-binary,non-binary
100698,Anais,Barton,example100698@hmc.edu,ESFP,men,women
100699,Melvin,Cabrera,example100699@students.pitzer.edu,ISFJ,"men, women, non-binary","men, non-binary"
100700,Kamari,Schwartz,example100700@students.pitzer.edu,INTJ,men,"men, women"
100701,Rohan,Morales,example100701@students.claremontmckenna.edu,ENTJ,women,men
100702,Kiaan,Flores,example100702@mymail.pomona.edu,INFJ,"men, women","women, non-binary"
100703,Karsyn,Rojas,example100703@mymail.pomona.edu,INTP,men,"women, non-binary"
100704,Armani,Martinez,example100704@hmc.edu,ESTP,men,"men, non-binary"
100705,Belle,Potter,example100705@students.pitzer.edu,ISTP,women,men
100706,Moises,Pham,example100706@mymail.pomona.edu,ESFP,men,women
100707,Kaydence,Conner,example100707@students.claremontmckenna.edu,INFJ,women,non-binary
100708,Arian,Bridges,example100708@hmc.edu,INFJ,women,"men, women, non-binary"
100709,Kaysen,Hunter,example100709@students.claremontmckenna.edu,ENFJ,women,men
100710,Jaylee,Rivera,example100710@students.claremontmckenna.edu,ISTP,men,women
100711,Grey,Cisneros,example100711@scrippscollege.edu,INFJ,women,men
100712,Braelyn,Townsend,example100712@scrippscollege.edu,ENFP,women,"women, non-binary"
100713,Noah,Santos,example100713@mymail.pomona.edu,ENFJ,non-binary,women
100714,Warren,Parrish,example100714@mymail.pomona.edu,ENTP,women,men
100715,Johan,Thomas,example100715@scrippscollege.edu,ESFP,men,women
100716,Anders,Pruitt,example100716@scrippscollege.edu,ISTP,"men, women",men
100717,Madelyn,Norris,example100717@students.pitzer.edu,INTP,men,women
100718,Caiden,Allison,example100718@students.pitzer.edu,ISFJ,women,men
100719,Karsyn,Lara,example100719@students.claremontmckenna.edu,ESFJ,men,non-binary
100720,Taylor,Duke,example100720@students.pitzer.edu,ESFJ,women,men
100721,Lawrence,Barron,example100721@scrippscollege.edu,ESTJ,men,men
100722,Loretta,Singleton,example100722@hmc.edu,INFP,men,women
100723,Waylon,Stephenson,example100723@hmc.edu,INTP,women,men
100724,Julian,Barron,example100724@mymail.pomona.edu,INFJ,women,men
